"Crop","WaterRequirementMin","WaterRequirementMax"
"Rice","900","2500"
"Wheat","450","650"
"Sorghum","450","650"
"Maize","500","800"
"Sugarcane","1500",2500
"Groundnut","500","700"
"Cotton","700","1300"
"Soybean","450","700"
"Tobacco","400","600"
"Tomato","600","800"
"Potato","500","700"
"Onion","350","550"
"Chillies","500","500"
"Sunflower","350","500"
"Castor","500","500"
"Bean","300","500"
"Cabbage","380","500"
"Pea","350","500"
"Banana","1200","2200"
"Citrus","900","1200"
"Pineapple","700","1000"
"Gingelly","350","400"
"Ragi","400","450"
"Grape","500","1200"